name,depth_len,visited_len
Plot,27.0,36762.0
Plot,19.0,1214.0
Plot,19.0,1340.0
Plot,24.0,13178.0
Plot,27.0,36733.0
Plot,26.0,28540.0
Plot,22.0,5013.0
Plot,10.0,14.0
Plot,25.0,17108.0
Plot,22.0,5277.0
Plot,19.0,1330.0
Plot,20.0,2301.0
Plot,21.0,4389.0
Plot,14.0,147.0
Plot,28.0,54915.0
Plot,28.0,54621.0
h2,25.0,1446.0
h1,20.0,2273.0
h1,26.0,28873.0
h2,27.0,3466.0
h2,19.0,539.0
h2,21.0,550.0
h2,19.0,436.0
h2,25.0,1245.0
h2,24.0,1598.0
h2,26.0,995.0
h2,22.0,2378.0
h2,19.0,289.0
h2,24.0,1090.0
h2,23.0,1348.0
h2,22.0,1334.0
h1,22.0,5340.0
h1,26.0,28469.0
h1,25.0,16561.0
h1,23.0,7119.0
h1,25.0,17695.0
h1,17.0,472.0
h1,9.0,16.0
h1,21.0,3261.0
h2,25.0,2454.0
h2,21.0,168.0
h2,25.0,898.0
h1,17.0,505.0
h2,22.0,1249.0
h1,25.0,17727.0
h2,29.0,4018.0
h1,19.0,1745.0
h2,23.0,2891.0
h1,30.0,95995.0
h2,23.0,1402.0
h1,25.0,16750.0
h1,27.0,37302.0
h1,28.0,56066.0
h1,21.0,3223.0
